date,1. open,2. high,3. low,4. close,5. volume,sym
2018-04-26 14:09:00,67.96,68.075,67.96,68.06,613600.0,NKE
2018-04-26 14:10:00,68.07,68.21,68.07,68.21,55372.0,NKE
2018-04-26 14:11:00,68.215,68.2892,68.215,68.27,10327.0,NKE
2018-04-26 14:12:00,68.27,68.27,68.17,68.18,22917.0,NKE
2018-04-26 14:13:00,68.19,68.215,68.19,68.2,6137.0,NKE
2018-04-26 14:14:00,68.19,68.205,68.18,68.185,3215.0,NKE
2018-04-26 14:15:00,68.19,68.215,68.185,68.215,5267.0,NKE
2018-04-26 14:16:00,68.21,68.21,68.15,68.15,8091.0,NKE
2018-04-26 14:17:00,68.1599,68.18,68.14,68.18,5842.0,NKE
2018-04-26 14:18:00,68.18,68.21,68.17,68.21,8561.0,NKE
2018-04-26 14:19:00,68.215,68.215,68.18,68.1838,2950.0,NKE
2018-04-26 14:20:00,68.18,68.205,68.18,68.18,6192.0,NKE
2018-04-26 14:21:00,68.17,68.175,68.16,68.16,5200.0,NKE
2018-04-26 14:22:00,68.16,68.16,68.13,68.13,3800.0,NKE
2018-04-26 14:23:00,68.13,68.13,68.13,68.13,1500.0,NKE
2018-04-26 14:24:00,68.13,68.13,68.11,68.11,3903.0,NKE
2018-04-26 14:25:00,68.11,68.12,68.1,68.12,6577.0,NKE
2018-04-26 14:26:00,68.12,68.12,68.09,68.09,10199.0,NKE
2018-04-26 14:27:00,68.08,68.11,68.07,68.08,7791.0,NKE
2018-04-26 14:28:00,68.08,68.09,68.07,68.085,8145.0,NKE
2018-04-26 14:29:00,68.08,68.1,68.08,68.09,5203.0,NKE
2018-04-26 14:30:00,68.09,68.11,68.08,68.1075,6068.0,NKE
2018-04-26 14:31:00,68.11,68.11,68.09,68.095,6815.0,NKE
2018-04-26 14:32:00,68.0931,68.1,68.08,68.09,3150.0,NKE
2018-04-26 14:33:00,68.0999,68.11,68.09,68.09,3503.0,NKE
2018-04-26 14:34:00,68.085,68.11,68.08,68.08,5232.0,NKE
2018-04-26 14:35:00,68.09,68.1,68.08,68.1,3916.0,NKE
2018-04-26 14:36:00,68.09,68.09,68.05,68.06,5215.0,NKE
2018-04-26 14:37:00,68.07,68.08,68.06,68.07,3459.0,NKE
2018-04-26 14:38:00,68.0647,68.0652,68.05,68.065,6721.0,NKE
2018-04-26 14:39:00,68.07,68.07,68.03,68.03,9948.0,NKE
2018-04-26 14:40:00,68.03,68.07,68.0299,68.07,6968.0,NKE
2018-04-26 14:41:00,68.07,68.1,68.0644,68.0955,6374.0,NKE
2018-04-26 14:42:00,68.09,68.13,68.09,68.13,7607.0,NKE
2018-04-26 14:43:00,68.14,68.21,68.13,68.21,12805.0,NKE
2018-04-26 14:44:00,68.205,68.24,68.1999,68.24,6236.0,NKE
2018-04-26 14:45:00,68.24,68.24,68.22,68.23,5128.0,NKE
2018-04-26 14:46:00,68.2358,68.24,68.2234,68.23,4010.0,NKE
2018-04-26 14:47:00,68.24,68.24,68.21,68.23,3014.0,NKE
2018-04-26 14:48:00,68.23,68.23,68.23,68.23,1210.0,NKE
2018-04-26 14:49:00,68.24,68.25,68.24,68.24,700.0,NKE
2018-04-26 14:50:00,68.23,68.23,68.21,68.21,1100.0,NKE
2018-04-26 14:51:00,68.21,68.21,68.21,68.21,600.0,NKE
2018-04-26 14:52:00,68.2,68.21,68.2,68.2,1609.0,NKE
2018-04-26 14:53:00,68.2,68.21,68.2,68.2,1300.0,NKE
2018-04-26 14:54:00,68.19,68.19,68.16,68.16,6277.0,NKE
2018-04-26 14:55:00,68.16,68.16,68.16,68.16,100.0,NKE
2018-04-26 14:56:00,68.16,68.16,68.12,68.12,3600.0,NKE
2018-04-26 14:57:00,68.11,68.12,68.11,68.12,1600.0,NKE
2018-04-26 14:58:00,68.13,68.14,68.12,68.12,2042.0,NKE
2018-04-26 14:59:00,68.12,68.13,68.12,68.13,700.0,NKE
2018-04-26 15:00:00,68.12,68.12,68.11,68.11,500.0,NKE
2018-04-26 15:01:00,68.13,68.13,68.105,68.13,1330.0,NKE
2018-04-26 15:02:00,68.13,68.13,68.105,68.12,1174.0,NKE
